source,metric_id,metric_name,unitid,institution_name,data_year,period_label,period_type,value,value_unit,definition_reference_year,definition_variable
IPEDS,total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),169798,Eastern Michigan University,2014,2014-15,academic_year,36704,USD,2023,COTSOFF
IPEDS,total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),169798,Eastern Michigan University,2014,2014-15,academic_year,,USD,2023,CINSFAM
IPEDS,total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),169798,Eastern Michigan University,2014,2014-15,academic_year,,USD,2023,COTSFAM
IPEDS,percent_admitted_total,Percent admitted - total,169798,Eastern Michigan University,2014,2014-15,fall,69,Percent,2023,DVADM01
IPEDS,percent_admitted_men,Percent admitted - men,169798,Eastern Michigan University,2014,2014-15,fall,65,Percent,2023,DVADM02
IPEDS,percent_admitted_women,Percent admitted - women,169798,Eastern Michigan University,2014,2014-15,fall,72,Percent,2023,DVADM03
IPEDS,pct_first_time_undergrads_in_state,Percent of first-time undergraduates - in-state,169798,Eastern Michigan University,2014,2014-15,fall,85,Percent,2023,RMINSTTP
IPEDS,pct_first_time_undergrads_out_state,Percent of first-time undergraduates - out-of-state,169798,Eastern Michigan University,2014,2014-15,fall,13,Percent,2023,RMOUSTTP
IPEDS,pct_first_time_undergrads_foreign,Percent of first-time undergraduates - foreign countries,169798,Eastern Michigan University,2014,2014-15,fall,1,Percent,2023,RMFRGNCP
IPEDS,full_time_retention_rate,Full-time retention rate,169798,Eastern Michigan University,2014,2014-15,fall,73,Percent,2023,RET_PCF
IPEDS,pct_students_exclusively_distance_ed,Percent of students enrolled exclusively in distance education courses,169798,Eastern Michigan University,2014,2014-15,fall,6,Percent,2023,PCTDEEXC
IPEDS,pct_students_some_distance_ed,Percent of students enrolled in some but not all distance education courses,169798,Eastern Michigan University,2014,2014-15,fall,17,Percent,2023,PCTDESOM
IPEDS,pct_students_no_distance_ed,Percent of students not enrolled in any distance education courses,169798,Eastern Michigan University,2014,2014-15,fall,77,Percent,2023,PCTDENON
IPEDS,grad_rate_bachelors_within_4_years_total,"Graduation rate - Bachelor degree within 4 years, total",169798,Eastern Michigan University,2014,2014-15,graduation_release_year,12,Percent,2023,GBA4RTT
IPEDS,grad_rate_bachelors_within_5_years_total,"Graduation rate - Bachelor degree within 5 years, total",169798,Eastern Michigan University,2014,2014-15,graduation_release_year,27,Percent,2023,GBA5RTT
IPEDS,grad_rate_bachelors_within_6_years_total,"Graduation rate - Bachelor degree within 6 years, total",169798,Eastern Michigan University,2014,2014-15,graduation_release_year,37,Percent,2023,GBA6RTT
IPEDS,pell_grant_recipients_overall_grad_rate_150pct,Pell Grant recipients - Overall graduation rate within 150 percent of normal time,169798,Eastern Michigan University,2014,2014-15,graduation_release_year,,Percent,2023,PGGRRTT
IPEDS,pct_ftft_awarded_federal_grant_aid,Percent of full-time first-time undergraduates awarded federal grant aid,169798,Eastern Michigan University,2014,2014-15,academic_year,47,Percent,2023,FGRNT_P
IPEDS,avg_ftft_federal_grant_aid,Average amount of federal grant aid awarded to full-time first-time undergraduates,169798,Eastern Michigan University,2014,2014-15,academic_year,4702,USD,2023,FGRNT_A
